GLOBALEVENTID,SQLDATE,AvgTone,NumArticles,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FullName,SOURCEURL
780485825,20180819,-1.74129353233831,4,10.0,76.5,"Kerala, Kerala, India",https://www.dailypioneer.com/health-and-fitness/health-ministry-extending-all-support-to-flood-relief-measures-in-kerala-nadda.html
780485828,20180819,-1.74129353233831,2,10.0,76.5,"Kerala, Kerala, India",https://www.dailypioneer.com/health-and-fitness/health-ministry-extending-all-support-to-flood-relief-measures-in-kerala-nadda.html
780485830,20180819,-2.3961661341853,2,10.0,76.5,"Kerala, Kerala, India",http://www.dnaindia.com/india/report-tamil-nadu-chief-minister-k-palaniswami-visits-flood-hit-areas-assures-compensation-for-crop-2651843
780485855,20180819,-1.16650475433484,8,10.0,76.5,"Kerala, Kerala, India",https://www.dailypioneer.com/health-and-fitness/health-ministry-extending-all-support-to-flood-relief-measures-in-kerala-nadda.html
780485859,20180819,-1.74129353233831,4,10.0,76.5,"Kerala, Kerala, India",https://www.dailypioneer.com/health-and-fitness/health-ministry-extending-all-support-to-flood-relief-measures-in-kerala-nadda.html
780485860,20180819,-1.74129353233831,6,10.0,76.5,"Kerala, Kerala, India",https://www.dailypioneer.com/health-and-fitness/health-ministry-extending-all-support-to-flood-relief-measures-in-kerala-nadda.html
780485899,20180819,-0.55452781775894,8,10.0,76.5,"Kerala, Kerala, India",http://www.canindia.com/kerala-situation-improving-ncmc-told-another-review-meet-on-monday/
780485901,20180819,-1.74129353233831,4,10.0,76.5,"Kerala, Kerala, India",https://www.dailypioneer.com/health-and-fitness/health-ministry-extending-all-support-to-flood-relief-measures-in-kerala-nadda.html
780485906,20180819,-0.311861050728535,4,10.0,76.5,"Kerala, Kerala, India",http://www.canindia.com/kerala-situation-improving-ncmc-told-another-review-meet-on-monday/
780485907,20180819,-2.3961661341853,2,10.0,76.5,"Kerala, Kerala, India",http://www.dnaindia.com/india/report-tamil-nadu-chief-minister-k-palaniswami-visits-flood-hit-areas-assures-compensation-for-crop-2651843
